<<<<<<< HEAD
Roll No,Institute,Current Semester,Gender,Admission Cast Category,Religion,Permanent District,Total Fees,Last Exam,Last Exam Percentage,Last Exam Passing,Last Exam Board/Uni.,Specialisation,Churn,student_status_new,data
23BCA04157,BPCCS,1,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,63.6,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04185,BPCCS,1,Female,SEBC,Hindu,KUTCH,18000,HSC,83,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04079,BPCCS,2,Male,OPEN,Hindu,AMRELI,18000,HSC,50,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04125,BPCCS,1,Male,OPEN,Hindu,MORBI,18000,HSC,84.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04228,BPCCS,1,Male,OPEN,Hindu,MEHSANA,18000,HSC,65.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53027,SVICS-G,1,Female,SEBC,Hindu,AHMEDABAD,27000,HSC,64.13,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04229,BPCCS,1,Male,OBC,Hindu,AHMEDABAD,18000,HSC,61.14,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23BCA04340,BPCCS,2,Male,SEBC,Hindu,SURENDRANAGAR,18000,HSC,55.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04240,BPCCS,1,Male,SEBC,Hindu,SURENDRANAGAR,18000,HSC,65.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04339,BPCCS,2,Male,SEBC,Hindu,SURENDRANAGAR,18000,HSC,82,2022-23,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04145,BPCCS,2,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,68.13,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04519,BPCCS,2,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,58,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04263,BPCCS,1,Female,SEBC,Hindu,AHMEDABAD,18000,HSC,72.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04265,BPCCS,1,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,67.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04415,BPCCS,2,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04273,BPCCS,1,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,76,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53219,SVICS-G,2,Male,OPEN,Hindu,SURENDRANAGAR,27000,HSC,59.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04287,BPCCS,1,Male,OBC,Hindu,BOTAD,18000,HSC,88.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04296,BPCCS,1,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,55.53,2021-22,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23BCA04450,BPCCS,1,Male,OPEN,Hindu,BOTAD,18000,HSC,37,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04297,BPCCS,2,Male,OPEN,Muslim,SABARKANTHA,18000,HSC,41.71,2022-23,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04524,BPCCS,2,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,44.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04308,BPCCS,1,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,40.17,2023-24,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23BCA04469,BPCCS,2,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,42.28,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA04317,BPCCS,1,Male,OPEN,Hindu,BANASKANTHA,18000,HSC,57.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04337,BPCCS,1,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,49.87,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04252,BPCCS,3,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,53.73,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04355,BPCCS,1,Male,OPEN,Hindu,KUTCH,18000,HSC,63,2023-24,CBSE,COMMERCE,1,dropout_sem1,Churn
23BCA04312,BPCCS,2,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,52,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04036,BPCCS,2,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,60.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04378,BPCCS,1,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,58.43,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04381,BPCCS,1,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,76,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04411,BPCCS,1,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,61.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04422,BPCCS,1,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,50.13,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53042,SVICS-G,1,Male,OPEN,Hindu,SURENDRANAGAR,27000,HSC,63,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04448,BPCCS,1,Male,OPEN,Hindu,MAHISAGAR,18000,HSC,76.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04534,BPCCS,2,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,50.2,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA04454,BPCCS,1,Female,SEBC,Muslim,GANDHINAGAR,18000,HSC,67.28,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA04457,BPCCS,1,Male,SCST,Hindu,SABARKANTHA,18000,HSC,49,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA04458,BPCCS,1,Male,SEBC,Hindu,BANASKANTHA,18000,HSC,56.61,2023-24,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23TBCA04464,BPCCS,1,Male,SEBC,Hindu,GANDHINAGAR,18000,HSC,51.21,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04127,BPCCS,2,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,49.41,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04085,BPCCS,2,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04473,BPCCS,1,Male,OPEN,Hindu,ARVALLI,18000,HSC,77,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04190,BPCCS,2,Male,SCST,Hindu,MEHSANA,18000,HSC,57.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04462,BPCCS,1,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,56.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04498,BPCCS,1,Male,OBC,Muslim,GANDHINAGAR,18000,HSC,57.6,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04499,BPCCS,1,Female,SEBC,Hindu,GANDHINAGAR,18000,HSC,56.43,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04476,BPCCS,2,Male,OPEN,Hindu,BANASKANTHA,18000,HSC,56,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04405,BPCCS,2,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,58.66,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04040,BPCCS,2,Male,OBC,Hindu,PATAN,18000,HSC,58.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04521,BPCCS,1,Male,OPEN,Muslim,MORBI,18000,HSC,57.86,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04329,BPCCS,2,Female,OBC,Hindu,GANDHINAGAR,18000,HSC,74,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04547,BPCCS,1,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,50.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04478,BPCCS,2,Female,OPEN,Muslim,MORBI,18000,HSC,61.28,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04569,BPCCS,1,Male,SEBC,Hindu,JAMNAGAR,18000,HSC,66,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04119,BPCCS,3,Male,OPEN,Hindu,BOTAD,18000,HSC,46,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53187,SVICS-G,2,Male,OBC,Hindu,GANDHINAGAR,27000,HSC,40.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04573,BPCCS,1,Male,SEBC,Muslim,GANDHINAGAR,18000,HSC,58.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA04583,BPCCS,1,Female,OBC,Hindu,GANDHINAGAR,18000,HSC,70.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53063,SVICS-G,1,Male,SCST,Hindu,GANDHINAGAR,27000,HSC,55.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53066,SVICS-G,1,Female,OPEN,Hindu,SABARKANTHA,27000,HSC,64.71,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23BCA53144,SVICS-G,2,Female,SEBC,Hindu,GANDHINAGAR,27000,HSC,80.16,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53089,SVICS-G,1,Female,OPEN,Hindu,MEHSANA,27000,HSC,78,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA53101,SVICS-G,1,Male,SEBC,Hindu,GANDHINAGAR,27000,HSC,57.85,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53111,SVICS-G,1,Male,OPEN,Hindu,AHMEDABAD,27000,HSC,53.33,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53116,SVICS-G,1,Male,OBC,Hindu,SABARKANTHA,27000,HSC,51.71,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23BCA53179,SVICS-G,2,Female,SEBC,Hindu,GANDHINAGAR,27000,HSC,49,2022-23,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA53126,SVICS-G,1,Male,OPEN,Hindu,MEHSANA,27000,HSC,55.28,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23BCA53045,SVICS-G,3,Female,OPEN,Hindu,AHMEDABAD,27000,HSC,42.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53165,SVICS-G,1,Male,OBC,Hindu,GANDHINAGAR,27000,HSC,69,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53214,SVICS-G,2,Male,OPEN,Hindu,GANDHINAGAR,27000,HSC,53.47,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53229,SVICS-G,1,Male,OPEN,Muslim,SABARKANTHA,27000,HSC,42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53154,SVICS-G,2,Male,OPEN,Hindu,GANDHINAGAR,27000,HSC,59,2020-21,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23TBCA53190,SVICS-G,1,Female,SEBC,Hindu,AHMEDABAD,27000,HSC,79.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53197,SVICS-G,1,Female,OPEN,Hindu,AHMEDABAD,27000,HSC,83,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53200,SVICS-G,1,Female,OPEN,Christian,AHMEDABAD,27000,HSC,81.4,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53209,SVICS-G,2,Female,OPEN,Hindu,GANDHINAGAR,27000,HSC,63.46,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53195,SVICS-G,2,Male,OPEN,Muslim,SABARKANTHA,27000,HSC,43,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53010,SVICS-G,2,Male,OBC,Hindu,GANDHINAGAR,27000,HSC,50.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53189,SVICS-G,1,Male,SCST,Hindu,RAJKOT,27000,HSC,55.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53220,SVICS-G,1,Male,SCST,Hindu,GANDHINAGAR,27000,HSC,71.71,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53104,SVICS-G,2,Male,OPEN,Hindu,GANDHINAGAR,27000,HSC,73.42,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23TBCA53231,SVICS-G,1,Female,OPEN,Hindu,AHMEDABAD,27000,HSC,60.14,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53193,SVICS-G,2,Male,OPEN,Muslim,NAVSARI,27000,HSC,47,2023-24,G.H.S.E.B,ARTS,1,dropout_sem1,Churn
23BCA53226,SVICS-G,2,Female,OPEN,Hindu,AHMEDABAD,27000,HSC,59.46,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53021,SVICS-G,1,Male,OBC,Hindu,AURANGABAD,27000,HSC,62.5,2023-24,G.H.S.E.B,SCIENCE,1,dropout_sem1,Churn
23BCA53127,SVICS-G,2,Male,OPEN,Hindu,GANDHINAGAR,27000,HSC,70.57,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA53090,SVICS-G,2,Female,OPEN,Hindu,MEHSANA,27000,HSC,56.7,2023-24,G.H.S.E.B,COMMERCE,1,dropout_sem1,Churn
23BCA04511,BPCCS,3,Male,OBC,Hindu,SABARKANTHA,18000,HSC,62,2022-23,G.H.S.E.B,ARTS,0,active,Not Churn
23BCA04004,BPCCS,6,Male,OBC,Hindu,GONDIYA,18000,HSC,62,2022-23,CBSE,SCIENCE,0,active,Not Churn
23BCA04256,BPCCS,6,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,75.85,2022-23,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04203,BPCCS,6,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,54.57,2022-23,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04137,BPCCS,6,Male,SEBC,Hindu,AHMEDABAD,18000,HSC,52.4,2022-23,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04386,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,57.69,2022-23,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04037,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,49.5,2023-24,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04445,BPCCS,6,Male,OBC,Hindu,GANDHINAGAR,18000,HSC,58,2023-24,CBSE,SCIENCE,0,active,Not Churn
23BCA04044,BPCCS,6,Male,OBC,Hindu,PATAN,18000,HSC,64.14,2022-23,G.H.S.E.B,ARTS,0,active,Not Churn
23BCA04204,BPCCS,6,Male,OPEN,Hindu,KHEDA,18000,HSC,52.93,2021-22,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04045,BPCCS,6,Male,OBC,Hindu,BANASKANTHA,18000,HSC,59.84,2023-24,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04418,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,SSC,87.33,2021-22,GSEB,COMMERCE,0,active,Not Churn
23BCA04039,BPCCS,6,Male,OBC,Hindu,BANASKANTHA,18000,HSC,60.28,2022-23,G.H.S.E.B,ARTS,0,active,Not Churn
23BCA04307,BPCCS,6,Male,OBC,Hindu,AHMEDABAD,18000,SSC,49.06,2020-21,GSEB,COMMERCE,0,active,Not Churn
23BCA53137,SVICS-G,3,Male,OBC,Muslim,SURENDRANAGAR,27000,HSC,71.6,2023-24,CBSE,ARTS,0,dropout_mid,Churn
23BCA04491,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,48.15,2023-24,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04001,BPCCS,6,Female,OBC,Hindu,GANDHINAGAR,18000,HSC,91.6,2023-24,G.H.S.E.B,ARTS,0,active,Not Churn
23BCA04047,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,57.6,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04065,BPCCS,6,Male,OPEN,Hindu,DUNGARPUR,18000,HSC,78.8,2023-24,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA04177,BPCCS,6,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,47.28,2022-23,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04201,BPCCS,6,Female,OPEN,Hindu,MAHARASHTRA,18000,HSC,86.33,2023-24,Other,COMMERCE,0,active,Not Churn
23BCA04236,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,77.42,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04276,BPCCS,6,Female,OPEN,Hindu,KHEDA,18000,HSC,65.47,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04223,BPCCS,6,Female,OPEN,Hindu,KHEDA,18000,HSC,52.28,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04232,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,57.87,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04480,BPCCS,6,Male,OBC,Hindu,BANASKANTHA,18000,HSC,57.57,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04102,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,51.8,2023-24,CBSE,ARTS,0,active,Not Churn
23BCA04169,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,77.57,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04430,BPCCS,6,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,71,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04168,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,65,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04122,BPCCS,6,Female,OPEN,Hindu,RAJKOT,18000,HSC,73.28,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04101,BPCCS,6,Female,OPEN,Hindu,RAJKOT,18000,HSC,77.8,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04477,BPCCS,6,Female,OPEN,Hindu,AHMEDABAD,18000,HSC,73.73,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04103,BPCCS,6,Female,OPEN,Hindu,SIROHI,18000,HSC,84.8,2023-24,Other,COMMERCE,0,active,Not Churn
23BCA53135,SVICS-G,3,Female,SEBC,Hindu,GANDHINAGAR,27000,HSC,59.57,2023-24,G.H.S.E.B,COMMERCE,0,dropout_mid,Churn
23BCA53130,SVICS-G,3,Male,SEBC,Hindu,AHMEDABAD,27000,HSC,40.53,2023-24,G.H.S.E.B,COMMERCE,0,dropout_mid,Churn
23BCA04198,BPCCS,6,Female,OPEN,Hindu,ARVALLI,18000,HSC,75,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04289,BPCCS,6,Female,OPEN,Hindu,ARVALLI,18000,HSC,69.28,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04366,BPCCS,6,Male,OPEN,Hindu,MORBI,18000,HSC,52.57,2022-23,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04139,BPCCS,6,Female,OPEN,Hindu,KHEDA,18000,HSC,76.57,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04217,BPCCS,6,Male,OPEN,Hindu,ARVALLI,18000,HSC,51.57,2023-24,G.H.S.E.B,ARTS,0,active,Not Churn
23BCA04061,BPCCS,6,Male,OPEN,Hindu,GANDHINAGAR,18000,HSC,57.86,2022-23,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04162,BPCCS,6,Female,SCST,Hindu,GANDHINAGAR,18000,HSC,57.71,2022-23,G.H.S.E.B,SCIENCE,0,active,Not Churn
23BCA53101,SVICS-G,3,Female,OPEN,Hindu,SURENDRANAGAR,27000,HSC,50.43,2023-24,G.H.S.E.B,COMMERCE,0,dropout_mid,Churn
23BCA53105,SVICS-G,3,Female,OPEN,Hindu,SURENDRANAGAR,27000,HSC,67.86,2023-24,G.H.S.E.B,COMMERCE,0,dropout_mid,Churn
23BCA04432,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,49,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04353,BPCCS,6,Female,OPEN,Hindu,GANDHINAGAR,18000,HSC,47.28,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04266,BPCCS,6,Male,OPEN,Hindu,AHMEDABAD,18000,SSC,0,2023-24,GSEB,COMMERCE,0,active,Not Churn
23BCA53097,SVICS-G,3,Female,OPEN,Hindu,ANAND,27000,HSC,66.57,2023-24,G.H.S.E.B,ARTS,0,dropout_mid,Churn
23BCA04539,BPCCS,6,Female,OPEN,Hindu,JAMNAGAR,18000,HSC,44.14,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04279,BPCCS,6,Female,OPEN,Hindu,ANAND,18000,HSC,69,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04395,BPCCS,6,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,67.71,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04394,BPCCS,6,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,85,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04055,BPCCS,6,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,81.14,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04325,BPCCS,6,Female,SEBC,Hindu,AHMEDABAD,18000,HSC,42.2,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04428,BPCCS,6,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,87.43,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04313,BPCCS,6,Female,OBC,Hindu,GANDHINAGAR,18000,HSC,68,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04123,BPCCS,6,Female,SEBC,Hindu,SURENDRANAGAR,18000,HSC,67.57,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA04229,BPCCS,6,Male,OPEN,Hindu,AHMEDABAD,18000,HSC,57.43,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
23BCA53056,SVICS-G,3,Male,SEBC,Hindu,AHMEDABAD,27000,HSC,56.67,2023-24,G.H.S.E.B,COMMERCE,0,dropout_mid,Churn
23BCA04502,BPCCS,6,Female,OPEN,Hindu,SURENDRANAGAR,18000,HSC,70,2023-24,G.H.S.E.B,COMMERCE,0,active,Not Churn
